iter	Passed	Remaining
0	117	117466
1	222	111174
2	317	105472
3	407	101454
4	502	100091
5	589	97671
6	675	95872
7	757	93943
8	844	92946
9	931	92173
10	1015	91325
11	1094	90136
12	1174	89144
13	1259	88678
14	1346	88393
15	1435	88274
16	1523	88122
17	1614	88086
18	1701	87844
19	1785	87488
20	1868	87120
21	1951	86738
22	2040	86687
23	2119	86208
24	2214	86355
25	2295	85991
26	2381	85832
27	2466	85627
28	2560	85738
29	2644	85508
30	2731	85376
31	2813	85115
32	2902	85045
33	2983	84765
34	3060	84377
35	3144	84196
36	3227	84009
37	3305	83677
38	3392	83605
39	3484	83626
40	3575	83635
41	3656	83400
42	3747	83405
43	3827	83160
44	3912	83031
45	3996	82893
46	4097	83086
47	4192	83151
48	4270	82884
49	4351	82671
50	4434	82509
51	4517	82364
52	4601	82211
53	4680	81990
54	4761	81809
55	4845	81676
56	4941	81747
57	5014	81445
58	5097	81296
59	5186	81261
60	5273	81175
61	5354	81015
62	5435	80848
63	5511	80601
64	5599	80540
65	5682	80420
66	5754	80133
67	5838	80019
68	5917	79845
69	6000	79720
70	6080	79564
71	6167	79489
72	6257	79459
73	6338	79318
74	6407	79024
75	6496	78987
76	6566	78717
77	6643	78531
78	6724	78397
79	6798	78183
80	6895	78233
81	6981	78164
82	7070	78118
83	7141	77881
84	7230	77831
85	7320	77802
86	7412	77784
87	7499	77721
88	7581	77599
89	7661	77464
90	7745	77372
91	7820	77188
92	7902	77069
93	7992	77029
94	8076	76938
95	8168	76923
96	8265	76948
97	8345	76812
98	8428	76706
99	8510	76597
100	8601	76560
101	8699	76587
102	8778	76448
103	8863	76366
104	8959	76371
105	9038	76227
106	9133	76230
107	9213	76094
108	9287	75916
109	9375	75857
110	9457	75743
111	9544	75677
112	9624	75547
113	9720	75547
114	9806	75467
115	9884	75324
116	9972	75264
117	10070	75275
118	10159	75217
119	10247	75149
120	10334	75072
121	10417	74974
122	10512	74956
123	10599	74879
124	10696	74876
125	10779	74768
126	10865	74687
127	10945	74563
128	11030	74475
129	11110	74357
130	11194	74259
131	11283	74194
132	11367	74103
133	11458	74050
134	11540	73946
135	11634	73910
136	11722	73842
137	11802	73725
138	11893	73668
139	11979	73590
140	12059	73466
141	12158	73464
142	12242	73368
143	12336	73334
144	12418	73226
145	12502	73133
146	12587	73042
147	12684	73023
148	12763	72896
149	12846	72797
150	12924	72670
151	13001	72535
152	13093	72482
153	13170	72354
154	13248	72227
155	13322	72077
156	13396	71929
157	13489	71884
158	13577	71814
159	13646	71643
160	13731	71556
161	13813	71454
162	13902	71390
163	13985	71291
164	14082	71265
165	14166	71175
166	14255	71104
167	14343	71032
168	14423	70921
169	14499	70789
170	14576	70668
171	14663	70588
172	14748	70504
173	14830	70400
174	14920	70338
175	15006	70259
176	15088	70155
177	15178	70093
178	15246	69930
179	15330	69837
180	15411	69736
181	15497	69651
182	15573	69526
183	15662	69459
184	15734	69315
185	15799	69145
186	15885	69064
187	15976	69004
188	16055	68895
189	16133	68778
190	16224	68720
191	16294	68570
192	16388	68526
193	16468	68418
194	16535	68260
195	16618	68167
196	16702	68080
197	16785	67987
198	16851	67829
199	16924	67697
200	16994	67553
201	17076	67459
202	17168	67406
203	17238	67265
204	17323	67183
205	17396	67052
206	17462	66898
207	17562	66871
208	17642	66772
209	17716	66646
210	17791	66527
211	17881	66464
212	17959	66358
213	18048	66290
214	18124	66175
215	18193	66037
216	18273	65937
217	18367	65885
218	18433	65737
219	18518	65656
220	18598	65558
221	18684	65480
222	18784	65451
223	18865	65356
224	18946	65260
225	19021	65143
226	19082	64980
227	19154	64856
228	19224	64726
229	19303	64623
230	19382	64524
231	19468	64446
232	19532	64299
233	19603	64172
234	19691	64103
235	19772	64010
236	19847	63898
237	19942	63849
238	20027	63768
239	20105	63668
240	20193	63598
241	20264	63474
242	20342	63371
243	20434	63312
244	20530	63266
245	20590	63109
246	20666	63003
247	20738	62885
248	20800	62736
249	20868	62606
250	20956	62535
251	21031	62426
252	21083	62251
253	21163	62157
254	21240	62056
255	21318	61955
256	21392	61845
257	21469	61745
258	21534	61610
259	21619	61533
260	21698	61436
261	21762	61300
262	21841	61205
263	21905	61068
264	21992	60999
265	22056	60861
266	22135	60768
267	22212	60668
268	22306	60617
269	22369	60479
270	22462	60426
271	22543	60338
272	22607	60203
273	22671	60071
274	22734	59935
275	22792	59789
276	22879	59717
277	22932	59559
278	23000	59437
